code,name,naverlink,fnlink,est_level,price,pegr,cur_per,est_price,est_price1,est_price2,disparity,disparity1,disparity2,rep_roe,is_cheap_comp_per,eps_level,eps,eps_expect,eps_expect_this_year_ratio,eps_list,eps증가율,eps증가율기하평균,EPS최근증가율,EPS증가율_ORG,EPS증가율_AVG,market_cap,trading_cnt,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,자기주식수,배당수익률,True
A339950,아이비김영,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=339950"", ""A339950"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A339950&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""아이비김영"")",2,2555,0.1,4.22,4372,2949,2451,71.13,15.43,-4.09,27.72,False,3,461.0,485.0,5.2,"[173.0, 282.0, 461.0, 485.0]","[63.0, 63.5, 5.2]",41.00690072357891,489.4,"[-94.9, 2881.9, 63.1, 63.6, 489.4]",88.68706476319747,1148.0,82984,"[448.0, 549.0, 738.0, 826.0]",64.71,"[18.92, 25.42, 32.19, 27.87]","[10.75, 7.17, 4.22, 5.27]",1195.0,191.0,1582885.0,15.42,True
A352090,스톰테크,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=352090"", ""A352090"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A352090&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""스톰테크"")",3,3570,0.0,9.58,4502,3963,3774,26.12,11.01,5.72,13.92,True,0,380.0,,,"[468.0, 534.0, 380.0, nan]","[14.1, -28.8, nan]",0.0,13.3,"[9.7, -2.4, 14.2, -28.9, 13.3]",-0.3024669876266928,959.0,49120,"[819.0, 897.0, 938.0, nan]",70.97,"[16.64, 16.74, 11.13, nan]","[10.46, 5.79, 9.58, nan]",697.0,119.0,,12.36,True
A049520,유아이엘,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=049520"", ""A049520"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A049520&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""유아이엘"")",3,3600,0.0,4.75,7613,7090,6907,111.46,96.94,91.85,12.39,False,0,696.0,,,"[352.0, 923.0, 696.0, nan]","[162.2, -24.6, nan]",0.0,-6.9,"[nan, 64.5, 162.5, -24.5, -6.9]",0.0,1110.0,93761,"[1593.0, 1984.0, 2014.0, nan]",53.38,"[7.37, 16.63, 11.23, nan]","[10.42, 3.76, 4.75, nan]",4123.0,264.0,472039.0,12.08,True
A478560,블랙야크아이앤씨,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=478560"", ""A478560"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A478560&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""블랙야크아이앤씨"")",1,2675,0.0,,3341,2352,2005,24.91,-12.07,-25.03,24.28,False,0,-222.0,,,"[270.0, 293.0, -222.0, nan]","[8.5, -175.8, nan]",0.0,,"[nan, 55.8, 8.6, nan, nan]",0.0,691.0,48699,"[119.0, 228.0, 383.0, nan]",76.2,"[65.11, 40.28, -18.78, nan]","[nan, nan, nan, nan]",573.0,93.0,38159.0,9.12,True
A461300,아이스크림미디어,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=461300"", ""A461300"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A461300&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""아이스크림미디어"")",3,17100,0.0,4.67,41378,27888,23160,141.98,63.09,35.44,27.79,True,0,3723.0,,,"[2851.0, 2712.0, 3723.0, nan]","[-4.9, 37.3, nan]",0.0,,"[96.1, 35.0, -4.9, 37.3, nan]",0.0,2278.0,42562,"[836.0, 1833.0, 2044.0, nan]",60.8,"[44.11, 23.29, 25.36, nan]","[nan, 4.33, 4.67, nan]",1959.0,618.0,598969.0,8.93,True
A005850,에스엘,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=005850"", ""A005850"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A005850&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""에스엘"")",1,69700,1.36,6.4,78845,66363,61989,13.12,-4.79,-11.06,15.35,True,1,6692.0,8293.0,23.9,"[7223.0, 7930.0, 6692.0, 8293.0]","[9.8, -15.6, 23.9]",4.714148218180969,32.3,"[64.4, 119.6, 9.8, -15.6, 32.3]",34.65043351358115,32375.0,152377,"[19284.0, 22998.0, 25525.0, 27966.0]",62.92,"[18.83, 17.42, 12.81, 14.4]","[4.94, 3.8, 6.4, 8.4]",52399.0,4071.0,393058.0,6.46,True
A071320,지역난방공사,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=071320"", ""A071320"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A071320&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""지역난방공사"")",3,68300,0.63,3.29,228572,212685,207118,234.66,211.4,203.25,12.41,True,0,29268.0,20089.0,-31.4,"[17222.0, 18151.0, 29268.0, 20089.0]","[5.4, 61.2, -31.4]",5.23896978947147,-7.4,"[nan, nan, 5.4, 61.3, -7.4]",0.0,7908.0,9005,"[20885.0, 22671.0, 23014.0, 23397.0]",64.63,"[10.63, 9.65, 14.84, 10.02]","[1.42, 2.28, 3.29, 3.4]",39982.0,5296.0,,6.39,True
A096760,JW홀딩스,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=096760"", ""A096760"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A096760&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""JW홀딩스"")",3,3690,0.0,4.54,9421,6457,5418,155.3,74.98,46.83,26.34,True,0,791.0,,,"[257.0, 847.0, 791.0, nan]","[229.6, -6.6, nan]",0.0,103.9,"[nan, -14.1, 229.1, -6.6, 103.9]",0.0,2728.0,92563,"[1240.0, 2295.0, 2670.0, nan]",52.33,"[16.48, 35.43, 23.57, nan]","[13.56, 3.57, 4.54, nan]",9696.0,1679.0,4734115.0,5.99,True
A094280,효성ITX,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=094280"", ""A094280"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A094280&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""효성ITX"")",1,12170,0.0,10.29,12453,9442,8387,2.33,-22.41,-31.08,19.75,True,0,1243.0,,,"[1173.0, 947.0, 1243.0, nan]","[-19.3, 31.3, nan]",0.0,-21.6,"[3.7, -2.3, -19.3, 31.3, -21.6]",-3.389233288826765,1407.0,14061,"[702.0, 706.0, 751.0, nan]",68.3,"[21.45, 16.71, 21.21, nan]","[10.6, 12.9, 10.29, nan]",5190.0,190.0,519835.0,5.86,True
A067730,로지시스,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=067730"", ""A067730"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A067730&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""로지시스"")",3,2300,0.0,7.8,2680,2409,2313,16.51,4.72,0.59,13.32,True,0,342.0,,,"[53.0, 249.0, 342.0, nan]","[369.8, 37.3, nan]",0.0,7.8,"[-90.2, 152.5, 367.7, 36.9, 7.8]",11.300062294306557,223.0,46659,"[170.0, 187.0, 210.0, nan]",55.01,"[3.03, 13.5, 16.63, nan]","[67.77, 11.28, 7.8, nan]",485.0,29.0,,5.63,True
