code,name,est_level,price,est_price,est_price1,est_price2,disparity2,rep_roe, < 동종업계per,disparity,disparity1,시가총액,거래량,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,EPS(원),자기주식수,배당수익률
A010130,고려아연,3,388500.0,457026,410718,397523,-2.32,9.59,True,-17.64,-5.72,73310.0,30050.0,"[59603.0, 62500.0, 67154.0, 70977.0]",48.37,"[10.96, 8.64, 9.76, 8.9]","[14.79, 15.47, 12.67, 11.93]",66948.0,8053.0,33541.0,1195760.0,3.29
A030610,교보증권,3,8100.0,17186,15943,15589,-92.46,9.06,True,-112.17,-96.83,5237.0,59262.0,"[8158.0, 8814.0, 9609.0, nan]",73.16,"[9.39, 9.11, 9.06, nan]","[4.45, 4.25, 3.98, nan]",3064.0,1104.0,2319.0,1093598.0,4.34
A007690,국도화학,3,49900.0,96896,95668,95319,-91.02,8.14,True,-94.18,-91.72,2900.0,143364.0,"[4582.0, 4886.0, 5166.0, nan]",24.58,"[9.18, 9.5, 6.89, nan]","[8.92, 5.9, 7.9, nan]",11214.0,421.0,5958.0,364289.0,3.19
A014530,극동유화,3,3530.0,6046,5415,5235,-48.3,9.65,True,-71.26,-53.39,1231.0,584952.0,"[1484.0, 1599.0, 1682.0, nan]",43.36,"[10.48, 10.57, 8.75, nan]","[7.85, 7.05, 8.37, nan]",7956.0,167.0,412.0,1200000.0,4.64
A002810,삼영무역,3,13950.0,25474,22675,21878,-56.83,9.75,True,-82.61,-62.55,2576.0,12884.0,"[3090.0, 3338.0, 3607.0, nan]",42.92,"[9.58, 8.99, 10.32, nan]","[10.24, 8.58, 8.19, nan]",2742.0,92.0,1941.0,1138844.0,2.1
A004000,롯데정밀화학,3,56400.0,93621,72592,66600,-18.09,12.73,True,-65.99,-28.71,14551.0,263768.0,"[11927.0, 13779.0, 14931.0, 16068.0]",31.13,"[7.74, 16.72, 11.73, 10.62]","[18.77, 4.93, 6.92, 8.84]",13113.0,1897.0,6526.0,330000.0,3.77
A004170,신세계,3,230500.0,713216,524532,470767,-104.24,14.24,True,-209.42,-127.56,22693.0,73231.0,"[34218.0, 34691.0, 39265.0, 35727.0]",28.57,"[5.48, 6.94, 14.24, -1.29]","[16.2, 10.55, 5.4, nan]",63942.0,4678.0,53472.0,8774.0,0.69
A004490,세방전지,3,41950.0,84822,81180,80143,-91.04,8.58,True,-102.2,-93.52,5873.0,153936.0,"[8897.0, 9820.0, 10542.0, nan]",41.48,"[7.76, 10.32, 7.7, nan]","[7.52, 5.21, 6.66, nan]",11390.0,1057.0,5597.0,615220.0,1.34
A053210,스카이라이프,3,9030.0,14791,14735,14719,-63.0,8.02,True,-63.79,-63.18,4318.0,72445.0,"[5778.0, 6613.0, 6991.0, 7440.0]",50.0,"[10.25, 8.33, 8.02, 9.14]","[11.21, 10.65, 7.64, 6.55]",6946.0,694.0,1141.0,258613.0,4.01
A002870,신풍제지,3,3065.0,10121,5543,4238,-38.28,32.25,True,-230.21,-80.84,1071.0,7548359.0,"[443.0, 525.0, 693.0, nan]",34.87,"[2.16, 18.04, 32.25, nan]","[31.03, 5.22, 2.66, nan]",1569.0,114.0,562.0,7252320.0,4.01
A120030,조선선재,3,111500.0,168536,130872,120139,-7.75,12.69,True,-51.15,-17.37,1402.0,9552.0,"[975.0, 1026.0, 1105.0, nan]",51.84,"[16.58, 11.75, 12.02, nan]","[6.79, 8.45, 8.11, nan]",640.0,141.0,10187.0,213717.0,1.82
A035510,신세계 I&C,3,123000.0,137330,126637,123590,-0.48,9.16,True,-11.65,-2.96,2116.0,16357.0,"[1663.0, 1923.0, 1992.0, nan]",35.87,"[5.98, 16.32, 5.44, nan]","[14.29, 6.64, 17.35, nan]",4560.0,185.0,6196.0,53509.0,1.86
A011330,유니켐,3,1380.0,3290,2052,1699,-23.08,21.34,True,-138.43,-48.66,948.0,288008.0,"[349.0, 586.0, 833.0, nan]",18.61,"[18.54, 23.1, 21.11, nan]","[11.42, 8.32, 8.12, nan]",1088.0,179.0,223.0,907818.0,
A015020,이스타코,3,614.0,4026,2363,1889,-207.58,25.52,True,-555.71,-284.78,263.0,52331.0,"[413.0, 369.0, 489.0, nan]",39.42,"[-4.42, -10.62, 25.52, nan]","[nan, nan, 2.77, nan]",238.0,39.0,256.0,3960641.0,
A006740,영풍제지,3,5550.0,7911,7244,7054,-27.09,9.27,True,-42.54,-30.52,1232.0,6497189.0,"[977.0, 1111.0, 1195.0, nan]",54.44,"[4.04, 13.72, 8.05, nan]","[16.6, 5.27, 7.45, nan]",997.0,109.0,418.0,4627676.0,1.28
A029460,케이씨,3,25150.0,151023,82013,62348,-147.91,33.28,True,-500.49,-226.09,3409.0,50275.0,"[2127.0, 3650.0, 4498.0, nan]",40.67,"[27.73, 67.41, 12.38, 14.23]","[10.13, 0.82, 5.01, 5.33]",5119.0,676.0,3722.0,1116836.0,1.34
A035000,지투알,3,5870.0,12250,10187,9599,-63.53,11.07,True,-108.69,-73.55,973.0,58372.0,"[1219.0, 1304.0, 1429.0, nan]",35.0,"[8.71, 12.11, 11.17, nan]","[14.62, 8.16, 7.11, nan]",5421.0,219.0,921.0,359765.0,4.58
A055550,신한지주,3,34050.0,86952,80281,78380,-130.19,9.14,True,-155.37,-135.77,175877.0,1791934.0,"[328202.0, 357256.0, 391779.0, 437424.0]",9.12,"[9.13, 9.21, 9.09, 8.21]","[8.03, 5.95, 6.19, 5.07]",157074.0,50463.0,7004.0,3926.0,4.27
A033660,아주캐피탈,3,12500.0,23877,18346,16771,-34.16,12.97,True,-91.02,-46.77,7193.0,48603.0,"[7032.0, 7524.0, 8140.0, 8520.0]",74.05,"[7.23, 12.5, 12.97, 13.63]","[7.71, 5.4, 7.05, 6.34]",2293.0,1338.0,1765.0,2067090.0,5.22
