code,name,naverlink,fnlink,est_level,price,pegr,cur_per,est_price,est_price1,est_price2,disparity,disparity1,disparity2,rep_roe,is_cheap_comp_per,eps_level,eps,eps_expect,eps_expect_this_year_ratio,eps_list,eps증가율,eps증가율기하평균,EPS최근증가율,EPS증가율_ORG,EPS증가율_AVG,market_cap,trading_cnt,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,자기주식수,배당수익률,True
A000270,기아,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=000270"", ""A000270"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A000270&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""기아"")",3,161100,-8.9,6.37,236808,194510,179687,46.99,20.74,11.54,16.23,True,1,19111.0,21310.0,11.5,"[21770.0, 24413.0, 19111.0, 21310.0]","[12.1, -21.7, 11.5]",-0.7156613266420586,-22.0,"[13.6, 63.1, 12.1, -21.7, -22.0]",4.871831810635907,628955.0,1077583,"[465524.0, 558312.0, 611879.0, 670599.0]",36.99,"[20.44, 19.09, 12.92, 12.97]","[4.59, 4.12, 6.37, 7.56]",1141409.0,90781.0,1756955.0,5.58,True
A015760,한국전력,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=015760"", ""A015760"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A015760&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""한국전력"")",3,38100,0.0,3.55,88828,81478,78902,133.14,113.85,107.09,12.77,True,0,13311.0,8903.0,-33.1,"[-7512.0, 5439.0, 13311.0, 8903.0]","[-172.4, 144.7, -33.1]",0.0,7.1,"[nan, nan, nan, 144.7, 7.1]",0.0,244588.0,2208549,"[358450.0, 399152.0, 481699.0, 528257.0]",51.11,"[-12.63, 9.22, 19.4, 11.32]","[nan, 3.69, 3.55, 4.28]",974293.0,134906.0,,3.27,True
A138040,메리츠금융지주,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=138040"", ""A138040"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A138040&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""메리츠금융지주"")",1,107300,0.81,8.91,140233,99435,85137,30.69,-7.33,-20.65,23.76,True,3,12698.0,14331.0,12.9,"[10468.0, 11897.0, 12698.0, 14331.0]","[13.7, 6.7, 12.9]",11.055381583725321,3.6,"[4.0, 4.2, -1.2, 1.6, 3.6]",2.419415552429549,179564.0,279894,"[95819.0, 100944.0, 103226.0, 109195.0]",58.78,"[28.11, 23.44, 22.53, 22.76]","[5.65, 8.74, 8.91, 7.49]",41459.0,28727.0,5231200.0,,True
A071050,한국금융지주,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=071050"", ""A071050"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A071050&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""한국금융지주"")",3,246500,0.09,4.93,309096,265738,250543,25.39,7.8,1.64,14.65,True,3,32808.0,43853.0,33.7,"[11480.0, 16883.0, 32808.0, 43853.0]","[47.1, 94.3, 33.7]",56.34078689883295,-1.9,"[-0.7, -1.4, -2.9, -2.4, -1.9]",-1.862985086075064,137365.0,417721,"[83737.0, 96508.0, 120103.0, 138744.0]",21.3,"[8.81, 11.54, 18.66, 20.87]","[5.34, 4.22, 4.93, 5.62]",40358.0,23453.0,2987479.0,5.37,True
A039490,키움증권,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=039490"", ""A039490"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A039490&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""키움증권"")",1,364000,0.12,7.15,377424,312513,289766,3.69,-14.14,-20.39,15.93,True,3,40504.0,59876.0,47.8,"[15021.0, 29304.0, 40504.0, 59876.0]","[95.1, 38.2, 47.8]",58.542821257598376,27.9,"[11.5, 9.3, 16.0, 18.1, 27.9]",16.38437859670292,95471.0,123458,"[48607.0, 55877.0, 67044.0, 78100.0]",42.49,"[9.27, 15.98, 18.12, 21.92]","[6.62, 3.97, 7.15, 6.08]",23962.0,14882.0,,3.97,True
A005830,DB손해보험,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=005830"", ""A005830"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A005830&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""DB손해보험"")",3,142400,-2.97,5.19,295739,233754,212032,107.68,64.15,48.9,17.79,True,0,25263.0,23285.0,-7.8,"[24556.0, 26152.0, 25263.0, 23285.0]","[6.5, -3.4, -7.8]",-1.7454769675439241,17.7,"[13.3, 21.8, 15.6, 19.0, 17.7]",17.444231735265483,93273.0,172623,"[102365.0, 92966.0, 108808.0, 110240.0]",27.5,"[15.63, 18.96, 17.72, 14.12]","[3.41, 3.93, 5.19, 6.12]",165596.0,23840.0,4856880.0,5.8,True
A175330,JB금융지주,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=175330"", ""A175330"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A175330&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""JB금융지주"")",3,25750,0.72,6.96,37186,34496,33553,44.41,33.97,30.3,12.48,True,3,3688.0,3933.0,6.6,"[2975.0, 3469.0, 3688.0, 3933.0]","[16.6, 6.3, 6.6]",9.731084942008227,4.1,"[3.5, 4.0, 4.1, 4.1, 4.1]",3.959737809948738,48475.0,542090,"[50028.0, 55806.0, 59146.0, 62977.0]",14.99,"[12.23, 12.8, 12.36, 12.14]","[3.83, 4.69, 6.96, 6.55]",35719.0,9523.0,4215140.0,4.44,True
A002380,KCC,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=002380"", ""A002380"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A002380&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""KCC"")",3,542000,0.03,2.43,1443257,1241126,1170292,166.28,128.99,115.92,14.64,False,0,173128.0,117491.0,-32.1,"[23931.0, 38691.0, 173128.0, 117491.0]","[61.7, 347.5, -32.1]",70.00340160436902,392.5,"[nan, 528.0, 61.7, 347.5, 392.5]",0.0,46574.0,32420,"[51774.0, 52660.0, 78245.0, 82161.0]",35.57,"[4.13, 6.58, 23.51, 12.73]","[9.55, 6.09, 2.43, 4.61]",64838.0,4276.0,1238725.0,3.57,True
A111770,영원무역,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=111770"", ""A111770"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A111770&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""영원무역"")",3,79800,1.73,7.36,118298,106497,102362,48.24,33.46,28.27,13.28,True,2,11109.0,13181.0,18.7,"[11644.0, 9637.0, 11109.0, 13181.0]","[-17.2, 15.3, 18.7]",4.256575193862466,68.9,"[126.3, -23.5, -17.2, 15.3, 68.9]",22.79114711174488,35361.0,61541,"[32467.0, 36867.0, 40923.0, 45983.0]",50.75,"[17.03, 12.32, 12.66, 13.44]","[3.92, 4.4, 7.36, 6.05]",40636.0,5144.0,1751356.0,2.57,True
A005850,에스엘,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=005850"", ""A005850"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A005850&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""에스엘"")",1,69700,1.36,6.4,78845,66363,61989,13.12,-4.79,-11.06,15.35,True,1,6692.0,8293.0,23.9,"[7223.0, 7930.0, 6692.0, 8293.0]","[9.8, -15.6, 23.9]",4.714148218180969,32.3,"[64.4, 119.6, 9.8, -15.6, 32.3]",34.65043351358115,32375.0,152377,"[19284.0, 22998.0, 25525.0, 27966.0]",62.92,"[18.83, 17.42, 12.81, 14.4]","[4.94, 3.8, 6.4, 8.4]",52399.0,4071.0,393058.0,6.46,True
A383220,F&F,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=383220"", ""A383220"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A383220&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""F&F"")",2,73700,1.38,6.58,122676,84013,70463,66.45,13.99,-4.39,26.41,True,2,10404.0,12759.0,22.6,"[11096.0, 9408.0, 10404.0, 12759.0]","[-15.2, 10.6, 22.6]",4.764420841997374,138.0,"[95.7, -3.8, -15.2, 10.6, 138.0]",33.259680228602996,28232.0,122773,"[12905.0, 15622.0, 18787.0, 22661.0]",62.82,"[38.43, 25.27, 23.16, 23.58]","[8.04, 5.77, 6.58, 5.78]",19340.0,4686.0,825501.0,3.94,True
A009970,영원무역홀딩스,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=009970"", ""A009970"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A009970&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""영원무역홀딩스"")",3,186000,0.0,7.06,344099,306016,292670,85.0,64.52,57.35,13.62,True,0,27133.0,,,"[27262.0, 24492.0, 27133.0, nan]","[-10.2, 10.8, nan]",0.0,40.4,"[99.7, -15.7, -10.2, 10.8, 40.4]",18.65273923852675,25109.0,15850,"[23555.0, 27149.0, 30152.0, nan]",46.75,"[16.88, 13.17, 12.83, nan]","[2.86, 3.4, 7.06, nan]",48950.0,7355.0,1894339.0,3.43,True
A007340,DN오토모티브,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=007340"", ""A007340"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A007340&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""DN오토모티브"")",3,41250,-1.58,5.07,67034,51977,46700,62.51,26.0,13.21,18.65,True,1,4809.0,4985.0,3.7,"[5499.0, 5383.0, 4809.0, 4985.0]","[-2.1, -10.7, 3.7]",-3.2158361587209416,14.0,"[123.8, 51.9, -2.1, -10.7, 14.0]",27.64134493043462,24136.0,172858,"[11393.0, 17416.0, 20073.0, 22766.0]",52.16,"[27.29, 19.78, 15.02, 13.62]","[2.66, 3.41, 5.07, 8.27]",36757.0,5279.0,6748595.0,4.1,True
A439260,대한조선,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=439260"", ""A439260"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A439260&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""대한조선"")",2,60000,0.3,9.16,102818,63310,49465,71.36,5.52,-17.56,38.68,True,3,7314.0,8010.0,9.5,"[3640.0, 5656.0, 7314.0, 8010.0]","[55.4, 29.3, 9.5]",30.063235310697813,1.3,"[nan, nan, 55.4, 29.3, 1.3]",0.0,22853.0,67950,"[1715.0, 4534.0, 10924.0, 13644.0]",48.18,"[25.0, 55.26, 32.19, 24.94]","[nan, nan, 9.16, 7.49]",12281.0,2941.0,,0.37,True
A030000,제일기획,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=030000"", ""A030000"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A030000&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""제일기획"")",1,18290,1.23,11.64,20702,17943,16976,13.19,-1.9,-7.18,14.39,True,1,1804.0,1952.0,8.2,"[1628.0, 1804.0, 1804.0, 1952.0]","[10.8, 0.0, 8.2]",9.49228283308372,-0.3,"[17.1, -3.3, 10.8, 0.0, -0.3]",5.755891830751025,21041.0,675813,"[12866.0, 14580.0, 15723.0, 16153.0]",28.36,"[14.99, 15.12, 13.7, 14.09]","[11.69, 9.4, 11.64, 9.37]",45469.0,3369.0,13762500.0,5.86,True
A005440,현대지에프홀딩스,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=005440"", ""A005440"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A005440&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""현대지에프홀딩스"")",3,12640,-0.07,3.15,52429,38469,33577,314.79,204.35,165.64,21.56,True,0,2643.0,1987.0,-24.8,"[11200.0, 4483.0, 2643.0, 1987.0]","[-60.0, -41.0, -24.8]",-43.803412018040454,-47.4,"[35.3, 1760.9, -60.0, -41.1, -47.4]",25.55568232876848,19706.0,193175,"[27025.0, 33698.0, 40001.0, 42700.0]",77.15,"[49.81, 23.02, 11.18, 7.49]","[0.32, 1.09, 3.15, 6.36]",80916.0,2741.0,3420585.0,3.61,True
A462870,시프트업,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=462870"", ""A462870"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A462870&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""시프트업"")",2,30550,4.11,10.89,56888,35110,27478,86.21,14.93,-10.06,38.31,True,0,3261.0,2305.0,-29.3,"[2132.0, 2718.0, 3261.0, 2305.0]","[27.5, 20.0, -29.3]",2.6526774852607904,39.4,"[nan, nan, 27.5, 20.0, 39.4]",0.0,17919.0,81598,"[1811.0, 7644.0, 9212.0, 10593.0]",42.46,"[99.16, 31.3, 22.71, 13.67]","[nan, 23.33, 10.89, 13.25]",2945.0,1814.0,1152955.0,,True
A041510,에스엠,"=HYPERLINK(""https://finance.naver.com/item/coinfo.nhn?code=041510"", ""A041510"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A041510&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""에스엠"")",1,74400,0.5,8.93,96411,68370,58544,29.58,-8.1,-21.31,23.75,True,0,15126.0,5998.0,-60.3,"[3664.0, 778.0, 15126.0, 5998.0]","[-78.8, 1844.2, -60.3]",17.839014598345937,-86.8,"[-40.7, 9.0, -78.8, 1843.8, -86.8]",-18.864949231948746,17034.0,87601,"[7225.0, 6648.0, 10026.0, 10988.0]",41.75,"[12.3, 2.64, 41.65, 13.07]","[25.14, 97.15, 8.93, 12.4]",11749.0,1830.0,,1.2,True
