code,name,naverlink,fnlink,est_level,price,pegr,cur_per,est_price,est_price1,est_price2,disparity,disparity1,disparity2,rep_roe,is_cheap_comp_per,eps_level,eps,eps_expect,eps_expect_this_year_ratio,eps_list,eps증가율,eps증가율기하평균,EPS최근증가율,EPS증가율_ORG,EPS증가율_AVG,market_cap,trading_cnt,지배주주자본,최대주주지분율,ROE,PER,매출액,영업이익,자기주식수,배당수익률,True
A086280,현대글로비스,"=HYPERLINK(""https://stock.naver.com/domestic/stock/086280"", ""A086280"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A086280&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""현대글로비스"")",1,192000,0.44,7.81,203713,168676,156412,6.1,-12.15,-18.54,15.9,True,0,23117.0,23096.0,-0.1,"[14148.0, 14585.0, 23117.0, 23096.0]","[3.1, 58.5, -0.1]",17.747349528558743,-14.5,"[52.0, -10.8, 3.1, 58.5, -14.5]",13.62986684993519,144000.0,320585,"[77554.0, 87732.0, 103512.0, 116611.0]",50.36,"[14.51, 13.24, 18.13, 15.74]","[6.77, 8.1, 7.81, 8.31]",295664.0,20730.0,,3.21,True
A100840,SNT에너지,"=HYPERLINK(""https://stock.naver.com/domestic/stock/100840"", ""A100840"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A100840&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""SNT에너지"")",1,30700,0.14,8.97,30770,24203,21904,0.23,-21.16,-28.65,17.96,True,3,4080.0,4939.0,21.1,"[1099.0, 1675.0, 4080.0, 4939.0]","[52.4, 143.6, 21.1]",65.04490854734625,217.6,"[50.4, 20.9, 52.4, 143.6, 217.6]",84.60496459777482,6349.0,230720,"[2760.0, 3063.0, 3647.0, 4466.0]",52.32,"[8.49, 11.9, 25.15, 25.18]","[7.27, 14.27, 8.97, 6.22]",6061.0,1113.0,919675.0,3.14,True
A035890,서희건설,"=HYPERLINK(""https://stock.naver.com/domestic/stock/035890"", ""A035890"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A035890&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""서희건설"")",3,2125,0.0,6.03,8019,6860,6454,277.39,222.83,203.73,14.78,True,0,530.0,,,"[615.0, 698.0, 530.0, nan]","[13.5, -24.1, nan]",0.0,11.4,"[-32.4, 44.2, 13.4, -24.0, 11.4]",-1.3164512323355249,4883.0,934871,"[8438.0, 9747.0, 10836.0, nan]",59.84,"[17.85, 17.64, 11.84, nan]","[4.39, 4.51, 6.03, nan]",11001.0,1444.0,44439842.0,3.13,True
A032190,다우데이타,"=HYPERLINK(""https://stock.naver.com/domestic/stock/032190"", ""A032190"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A032190&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""다우데이타"")",3,17980,0.0,3.22,49250,45409,44064,173.92,152.55,145.07,12.62,True,0,5713.0,,,"[1660.0, 4290.0, 5713.0, nan]","[158.4, 33.2, nan]",0.0,82.4,"[38.6, -68.8, 158.5, 33.2, 82.4]",22.11850701721445,6886.0,108776,"[11797.0, 13555.0, 16104.0, nan]",63.29,"[5.49, 12.96, 14.76, nan]","[8.3, 2.37, 3.22, nan]",180520.0,15999.0,,2.99,True
A008260,NI스틸,"=HYPERLINK(""https://stock.naver.com/domestic/stock/008260"", ""A008260"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A008260&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""NI스틸"")",3,2850,0.0,5.28,9871,9721,9668,246.36,241.09,239.24,11.09,True,0,663.0,,,"[1756.0, 899.0, 663.0, nan]","[-48.8, -26.3, nan]",0.0,-2.0,"[121.2, 2.9, -48.8, -26.2, -2.0]",-3.361411245299306,815.0,137632,"[2342.0, 2545.0, 2703.0, nan]",59.0,"[23.77, 10.53, 7.23, nan]","[3.42, 3.89, 5.28, nan]",2479.0,301.0,412813.0,2.86,True
A472850,폰드그룹,"=HYPERLINK(""https://stock.naver.com/domestic/stock/472850"", ""A472850"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A472850&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""폰드그룹"")",3,4100,0.0,9.44,4513,4279,4197,10.08,4.36,2.36,11.93,True,0,600.0,,,"[4.0, 437.0, 600.0, nan]","[10825.0, 37.3, nan]",0.0,34.9,"[nan, nan, 10487.9, 37.1, 34.9]",0.0,2360.0,77377,"[1872.0, 2121.0, 2344.0, nan]",76.45,"[nan, 12.61, 15.46, nan]","[nan, 6.73, 9.44, nan]",4856.0,574.0,27956.0,2.78,True
A019010,베뉴지,"=HYPERLINK(""https://stock.naver.com/domestic/stock/019010"", ""A019010"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A019010&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""베뉴지"")",3,4435,0.0,1.38,12921,11212,10614,191.33,152.8,139.32,14.32,True,0,1945.0,,,"[285.0, -262.0, 1945.0, nan]","[-191.9, -842.4, nan]",0.0,510.8,"[nan, nan, nan, nan, 510.8]",0.0,2138.0,129888,"[3142.0, 2996.0, 3906.0, nan]",51.96,"[4.45, -4.11, 27.16, nan]","[7.33, nan, 1.38, nan]",482.0,150.0,8000000.0,2.61,True
A003480,한진중공업홀딩스,"=HYPERLINK(""https://stock.naver.com/domestic/stock/003480"", ""A003480"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A003480&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""한진중공업홀딩스"")",3,4690,0.0,2.33,19984,18416,17868,326.09,292.68,280.98,12.63,True,0,2001.0,,,"[256.0, 1915.0, 2001.0, nan]","[648.0, 4.5, nan]",0.0,26.1,"[nan, -48.5, 647.3, 4.5, 26.1]",0.0,1385.0,112235,"[3404.0, 3889.0, 4447.0, nan]",50.48,"[2.22, 15.5, 14.18, nan]","[12.55, 1.92, 2.33, nan]",12017.0,733.0,3440308.0,2.58,True
A111770,영원무역,"=HYPERLINK(""https://stock.naver.com/domestic/stock/111770"", ""A111770"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A111770&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""영원무역"")",3,74100,1.73,7.36,118518,106590,102416,59.94,43.85,38.21,13.28,True,2,11109.0,13181.0,18.7,"[11644.0, 9637.0, 11109.0, 13181.0]","[-17.2, 15.3, 18.7]",4.256575193862466,68.9,"[126.3, -23.5, -17.2, 15.3, 68.9]",22.79114711174488,32835.0,79258,"[32467.0, 36867.0, 40923.0, 45983.0]",50.75,"[17.03, 12.32, 12.66, 13.44]","[3.92, 4.4, 7.36, 5.62]",40636.0,5144.0,1751356.0,2.57,True
A378850,화승알앤에이,"=HYPERLINK(""https://stock.naver.com/domestic/stock/378850"", ""A378850"")","=HYPERLINK(""http://comp.fnguide.com/SVO2/ASP/SVD_Consensus.asp?pGB=1&gicode=A378850&cID=&MenuYn=Y&ReportGB=&NewMenuID=108&stkGb=701"", ""화승알앤에이"")",3,2995,0.0,3.41,14605,11503,10417,387.66,284.08,247.82,17.9,True,0,960.0,,,"[1275.0, 1707.0, 960.0, nan]","[33.9, -43.8, nan]",0.0,115.5,"[52.7, 90.9, 33.9, -43.8, 115.5]",36.43375321972242,569.0,71284,"[1125.0, 1505.0, 1669.0, nan]",55.97,"[23.6, 24.66, 11.49, nan]","[3.25, 1.76, 3.41, nan]",7146.0,271.0,2837.0,2.29,True
