name,code,cur_price,est_price0,est_price1,est_price2,disparity0,rep_roe,is_cheap_per,est_level
에스엠,A041510,78300,96770,68494,58608,-24,23.75,1,1
현대이지웰,A090850,5820,7203,5954,5517,-24,15.92,1,2
GC메디아이,A032620,3230,3981,3343,3120,-23,15.36,1,2
종근당,A185750,76600,94007,84494,81168,-23,13.27,1,3
블랙야크아이앤씨,A478560,2720,3354,2356,2008,-23,24.28,0,1
바이오비쥬,A489460,6720,8235,6042,5276,-23,21.45,1,1
더블유게임즈,A192080,69900,85039,72183,67688,-22,15.0,1,2
엠플러스,A259630,13450,16414,12186,10707,-22,20.78,1,1
디젠스,A113810,680,820,773,757,-21,12.03,0,3
유니트론텍,A142210,7170,8659,7623,7261,-21,13.86,1,3
기산텔레콤,A035460,3145,3780,3716,3693,-20,11.1,0,3
AP시스템,A265520,23400,27834,26275,25730,-19,12.01,1,3
파워넷,A037030,6680,7886,6862,6504,-18,14.21,0,2
제이브이엠,A054950,22500,26645,23245,22056,-18,14.13,1,2
노바렉스,A194700,14690,17343,15695,15119,-18,13.08,1,3
바디텍메드,A206640,10420,12302,11423,11116,-18,12.41,0,3
하이록코리아,A013030,35450,41271,39852,39356,-16,11.49,1,3
로지시스,A067730,2330,2690,2413,2316,-15,13.32,1,2
슈프리마,A236200,42200,48508,43589,41869,-15,13.27,0,2
애니플러스,A310200,2230,2567,2421,2370,-15,12.04,1,3
제일기획,A030000,18410,20779,17974,16994,-13,14.39,1,1
뉴프렉스,A085670,4340,4925,4658,4564,-13,11.96,0,3
피엔티,A137400,43700,49397,38901,35232,-13,17.86,1,1
에스엘,A005850,71200,79138,66480,62055,-11,15.35,1,1
크레버스,A096240,8990,9938,7608,6793,-11,19.18,0,1
폰드그룹,A472850,4075,4520,4281,4197,-11,11.93,1,3
씨앤지하이테크,A264660,14770,16233,15683,15491,-10,11.48,1,3
미원에스씨,A268280,100000,109724,100882,97791,-10,12.66,0,2
메쎄이상,A408920,3050,3340,2559,2286,-10,19.13,0,1
경동나비엔,A009450,68700,74941,63396,59360,-9,15.11,1,1
JW중외제약,A001060,26150,28230,21906,19695,-8,18.53,1,1
삼지전자,A037460,45350,49145,41163,38373,-8,15.45,0,1
한라IMS,A092460,18810,20333,15679,14052,-8,18.82,1,1
파라택시스이더리움,A290560,1122,1210,1203,1200,-8,10.88,1,3
고려신용정보,A049720,9620,10260,7137,6045,-7,25.02,0,1
진성티이씨,A036890,14000,14771,14735,14722,-6,10.8,1,3
티앤엘,A340570,54400,56920,39934,33997,-5,24.38,0,1
키움증권,A039490,364000,378828,313066,290076,-4,15.93,1,1
나무가,A190510,17500,17971,14886,13807,-3,15.85,0,1
에이에스텍,A453860,10400,10663,9874,9598,-3,12.48,1,1
삼양컴텍,A484590,7910,8107,5807,5003,-3,22.95,1,1
효성ITX,A094280,12310,12500,9459,8397,-2,19.75,1,1
